#          x                 Ham                 Mom
   0.0000000   -9.2328891058e-01    4.3385285297e-08
   0.0176395   -9.2327357405e-01    5.0233967754e-08
   0.0352790   -9.2326789109e-01    5.1651899369e-08
   0.0529185   -9.2327141954e-01    4.7887816823e-08
   0.0705581   -9.2327494800e-01    4.4123734277e-08
   0.0881976   -9.2328299275e-01    4.1348688468e-08
   0.1058371   -9.2329496041e-01    3.9432732962e-08
   0.1234766   -9.2330692808e-01    3.7516777456e-08
   0.1411161   -9.2331470966e-01    3.9204755212e-08
   0.1587556   -9.2331918337e-01    4.3740596316e-08
   0.1763951   -9.2332365708e-01    4.8276437419e-08
   0.1940347   -9.2331994674e-01    5.4052808679e-08
   0.2116742   -9.2331035927e-01    6.0720030454e-08
   0.2293137   -9.2330077181e-01    6.7387252229e-08
   0.2469532   -9.2328680122e-01    7.9154645082e-08
   0.2645927   -9.2326997454e-01    9.4245375217e-08
   0.2822322   -9.2325314786e-01    1.0933610535e-07
   0.2998717   -9.2323897118e-01    1.1712927100e-07
   0.3175112   -9.2322635817e-01    1.2061642034e-07
   0.3351508   -9.2321374515e-01    1.2410356968e-07
   0.3527903   -9.2320827410e-01    1.1828073399e-07
   0.3704298   -9.2320660925e-01    1.0749628952e-07
   0.3880693   -9.2320494441e-01    9.6711845055e-08
   0.4057088   -9.2321163637e-01    8.9079549329e-08
   0.4233483   -9.2322233767e-01    8.2959556179e-08
   0.4409878   -9.2323303897e-01    7.6839563028e-08
   0.4586274   -9.2325186708e-01    7.7647500381e-08
   0.4762669   -9.2327419108e-01    8.1435608957e-08
   0.4939064   -9.2329651508e-01    8.5223717533e-08
   0.5115459   -9.2332364567e-01    9.0631162569e-08
   0.5291854   -9.2335262096e-01    9.6660082679e-08
   0.5468249   -9.2338159625e-01    1.0268900279e-07
   0.5644644   -9.2340550672e-01    9.6121243826e-08
   0.5821040   -9.2342769357e-01    8.5266656906e-08
   0.5997435   -9.2344988043e-01    7.4412069987e-08
   0.6173830   -9.2345393395e-01    7.7464278638e-08
   0.6350225   -9.2345255667e-01    8.4681466673e-08
   0.6526620   -9.2345117940e-01    9.1898654708e-08
   0.6703015   -9.2342701134e-01    1.1118104781e-07
   0.6879410   -9.2339689298e-01    1.3361346981e-07
   0.7055806   -9.2336677462e-01    1.5604589182e-07
   0.7232201   -9.2332536076e-01    1.7246292759e-07
   0.7408596   -9.2328140678e-01    1.8752722099e-07
   0.7584991   -9.2323745279e-01    2.0259151440e-07
   0.7761386   -9.2320245009e-01    2.0260755613e-07
   0.7937781   -9.2316915438e-01    1.9975393127e-07
   0.8114176   -9.2313585867e-01    1.9690030641e-07
   0.8290572   -9.2312398538e-01    1.7780903642e-07
   0.8466967   -9.2311550477e-01    1.5614619367e-07
   0.8643362   -9.2310702417e-01    1.3448335092e-07
   0.8819757   -9.2311665439e-01    1.1759403251e-07
   0.8996152   -9.2312859832e-01    1.0131454761e-07
   0.9172547   -9.2314054225e-01    8.5035062706e-08
   0.9348942   -9.2315899242e-01    7.7271544702e-08
   0.9525337   -9.2317808483e-01    7.0348658625e-08
   0.9701733   -9.2319717725e-01    6.3425772547e-08
   0.9878128   -9.2321407949e-01    5.9291877768e-08
   1.0054523   -9.2323082594e-01    5.5356363123e-08
   1.0230918   -9.2324757240e-01    5.1420848479e-08
   1.0407313   -9.2325862062e-01    4.8367938270e-08
   1.0583708   -9.2326941301e-01    4.5354655199e-08
   1.0760103   -9.2328020539e-01    4.2341372127e-08
   1.0936499   -9.2328346547e-01    4.2060642529e-08
   1.1112894   -9.2328657551e-01    4.1834346267e-08
   1.1289289   -9.2328966024e-01    4.1632928005e-08
   1.1465684   -9.2328629292e-01    4.7775399794e-08
   1.1642079   -9.2328292561e-01    5.3917871584e-08
   1.1818474   -9.2327961212e-01    6.0177696144e-08
   1.1994869   -9.2327821313e-01    7.0611926424e-08
   1.2171265   -9.2327681414e-01    8.1046156704e-08
   1.2347660   -9.2327609521e-01    9.2315951969e-08
   1.2524055   -9.2328808802e-01    1.1920438505e-07
   1.2700450   -9.2330008084e-01    1.4609281813e-07
   1.2876845   -9.2331315743e-01    1.7295148124e-07
   1.3053240   -9.2333975280e-01    1.9943880329e-07
   1.3229635   -9.2336634816e-01    2.2592612533e-07
   1.3406031   -9.2339292926e-01    2.5084487537e-07
   1.3582426   -9.2341937857e-01    2.6127002008e-07
   1.3758821   -9.2344582787e-01    2.7169516479e-07
   1.3935216   -9.2347008276e-01    2.8024196732e-07
   1.4111611   -9.2347841047e-01    2.7515564113e-07
   1.4288006   -9.2348673818e-01    2.7006931493e-07
   1.4464401   -9.2349208585e-01    2.6237192579e-07
   1.4640796   -9.2347979495e-01    2.3921986676e-07
   1.4817192   -9.2346750405e-01    2.1606780773e-07
   1.4993587   -9.2345433820e-01    1.9166205137e-07
   1.5169982   -9.2343683827e-01    1.6104611984e-07
   1.5346377   -9.2341933834e-01    1.3043018831e-07
   1.5522772   -9.2340392136e-01    1.0301152899e-07
   1.5699167   -9.2339730375e-01    8.9099713502e-08
   1.5875562   -9.2339068614e-01    7.5187898010e-08
   1.6051958   -9.2338647985e-01    6.3184325444e-08
   1.6228353   -9.2339108584e-01    5.8154513387e-08
   1.6404748   -9.2339569183e-01    5.3124701329e-08
   1.6581143   -9.2339998747e-01    5.0539364727e-08
   1.6757538   -9.2340329099e-01    5.5768334909e-08
   1.6933933   -9.2340659452e-01    6.0997305090e-08
   1.7110328   -9.2340716319e-01    6.8083890329e-08
   1.7286724   -9.2340001713e-01    8.0410613567e-08
   1.7463119   -9.2339287108e-01    9.2737336804e-08
   1.7639514   -9.2338368140e-01    1.0048021401e-07
   1.7815909   -9.2336936867e-01    9.6732079949e-08
   1.7992304   -9.2335505593e-01    9.2983945883e-08
   1.8168699   -9.2334130281e-01    8.4496632499e-08
   1.8345094   -9.2332880350e-01    6.5391157857e-08
   1.8521490   -9.2331630419e-01    4.6285683214e-08
   1.8697885   -9.2330559363e-01    3.3115139884e-08
   1.8874280   -9.2329848161e-01    3.1884281900e-08
   1.9050675   -9.2329136960e-01    3.0653423916e-08
   1.9227070   -9.2328503078e-01    3.0798664484e-08
   1.9403465   -9.2328009392e-01    3.3439028799e-08
   1.9579860   -9.2327515706e-01    3.6079393114e-08
   1.9756255   -9.2327019878e-01    3.6330985883e-08
   1.9932651   -9.2326520540e-01    3.2666963436e-08
   2.0109046   -9.2326021201e-01    2.9002940990e-08
   2.0285441   -9.2325680063e-01    3.1533508433e-08
   2.0461836   -9.2325573920e-01    4.3265748237e-08
   2.0638231   -9.2325467777e-01    5.4997988041e-08
   2.0814626   -9.2325793823e-01    6.7734278291e-08
   2.0991021   -9.2326702728e-01    8.1824654923e-08
   2.1167417   -9.2327611633e-01    9.5915031554e-08
   2.1343812   -9.2329002794e-01    1.1522765334e-07
   2.1520207   -9.2330985243e-01    1.4094320179e-07
   2.1696602   -9.2332967692e-01    1.6665875024e-07
   2.1872997   -9.2335094654e-01    1.8310357199e-07
   2.2049392   -9.2337382850e-01    1.8920502097e-07
   2.2225787   -9.2339671046e-01    1.9530646994e-07
   2.2402183   -9.2341575279e-01    1.9050210541e-07
   2.2578578   -9.2343089502e-01    1.7462018229e-07
   2.2754973   -9.2344603725e-01    1.5873825916e-07
   2.2931368   -9.2345410400e-01    1.4325665044e-07
   2.3107763   -9.2345562726e-01    1.2814525729e-07
   2.3284158   -9.2345715053e-01    1.1303386414e-07
   2.3460553   -9.2345290888e-01    1.0960567744e-07
   2.3636949   -9.2344381475e-01    1.1601155660e-07
   2.3813344   -9.2343472062e-01    1.2241743575e-07
   2.3989739   -9.2342432780e-01    1.2230122515e-07
   2.4166134   -9.2341294081e-01    1.1719224238e-07
   2.4342529   -9.2340155383e-01    1.1208325962e-07
   2.4518924   -9.2339210004e-01    1.0240228511e-07
   2.4695319   -9.2338399052e-01    8.9542111045e-08
   2.4871715   -9.2337588101e-01    7.6681936982e-08
   2.5048110   -9.2336842275e-01    7.1814315335e-08
   2.5224505   -9.2336137517e-01    7.1986583429e-08
   2.5400900   -9.2335432759e-01    7.2158851523e-08
   2.5577295   -9.2334390915e-01    7.0927050587e-08
   2.5753690   -9.2333156745e-01    6.8894155051e-08
   2.5930085   -9.2331922576e-01    6.6861259515e-08
   2.6106480   -9.2330253834e-01    5.9532178386e-08
   2.6282876   -9.2328361376e-01    4.9476658519e-08
   2.6459271   -9.2326468917e-01    3.9421138652e-08
   2.6635666   -9.2324685839e-01    4.0968498079e-08
   2.6812061   -9.2322953388e-01    4.7886333064e-08
   2.6988456   -9.2321220937e-01    5.4804168050e-08
   2.7164851   -9.2320382281e-01    6.6628300541e-08
   2.7341246   -9.2319913983e-01    8.0485429236e-08
   2.7517642   -9.2319445684e-01    9.4342557932e-08
   2.7694037   -9.2320103613e-01    1.0005253031e-07
   2.7870432   -9.2321177101e-01    1.0275633272e-07
   2.8046827   -9.2322250589e-01    1.0546013512e-07
   2.8223222   -9.2323850894e-01    1.0278074254e-07
   2.8399617   -9.2325623164e-01    9.8344141227e-08
   2.8576012   -9.2327395434e-01    9.3907539915e-08
   2.8752408   -9.2328861549e-01    9.0716248245e-08
   2.8928803   -9.2330239971e-01    8.7881653307e-08
   2.9105198   -9.2331618393e-01    8.5047058368e-08
   2.9281593   -9.2332416520e-01    7.7226656365e-08
   2.9457988   -9.2333070281e-01    6.8165882849e-08
   2.9634383   -9.2333724042e-01    5.9105109333e-08
   2.9810778   -9.2334163580e-01    4.9914535254e-08
   2.9987174   -9.2334557431e-01    4.0696278590e-08
   3.0163569   -9.2334951283e-01    3.1478021926e-08
   3.0339964   -9.2335503449e-01    3.4718441930e-08
   3.0516359   -9.2336084068e-01    4.0197978938e-08
   3.0692754   -9.2336664688e-01    4.5677515946e-08
   3.0869149   -9.2337270908e-01    5.3535130009e-08
   3.1045544   -9.2337880916e-01    6.1744656819e-08
   3.1221939   -9.2338490925e-01    6.9954183630e-08
   3.1398335   -9.2338653779e-01    7.7363434091e-08
   3.1574730   -9.2338763912e-01    8.4678328824e-08
   3.1751125   -9.2338874045e-01    9.1993223558e-08
   3.1927520   -9.2338252130e-01    8.5540325528e-08
   3.2103915   -9.2337564799e-01    7.7857114102e-08
   3.2280310   -9.2336877468e-01    7.0173902676e-08
   3.2456705   -9.2335649302e-01    6.8210248145e-08
   3.2633101   -9.2334387475e-01    6.6602582633e-08
   3.2809496   -9.2333125648e-01    6.4994917121e-08
   3.2985891   -9.2331864405e-01    7.1764352095e-08
   3.3162286   -9.2330603184e-01    7.8839025549e-08
   3.3338681   -9.2329341963e-01    8.5913699003e-08
   3.3515076   -9.2328637444e-01    8.0225030283e-08
   3.3691471   -9.2327939527e-01    7.4385017584e-08
   3.3867867   -9.2327249896e-01    6.8546474391e-08
   3.4044262   -9.2327259157e-01    6.2831859470e-08
   3.4220657   -9.2327268417e-01    5.7117244548e-08
   3.4397052   -9.2327282872e-01    5.1620466380e-08
   3.4573447   -9.2327439890e-01    5.2102096877e-08
   3.4749842   -9.2327596908e-01    5.2583727374e-08
   3.4926237   -9.2327704166e-01    5.3280911847e-08
   3.5102633   -9.2327011948e-01    5.7441330213e-08
   3.5279028   -9.2326319730e-01    6.1601748578e-08
   3.5455423   -9.2325517148e-01    6.6488443020e-08
   3.5631818   -9.2323479542e-01    7.9502512603e-08
   3.5808213   -9.2321441937e-01    9.2516582186e-08
   3.5984608   -9.2319349038e-01    1.0443716205e-07
   3.6161003   -9.2316787168e-01    1.0708332916e-07
   3.6337398   -9.2314225297e-01    1.0972949626e-07
   3.6513794   -9.2311818793e-01    1.1127746649e-07
   3.6690189   -9.2310462190e-01    1.0540428812e-07
   3.6866584   -9.2309105588e-01    9.9531109746e-08
   3.7042979   -9.2308096098e-01    9.5602463547e-08
   3.7219374   -9.2309017980e-01    1.0249339379e-07
   3.7395769   -9.2309939862e-01    1.0938432404e-07
   3.7572164   -9.2311135089e-01    1.1813053564e-07
   3.7748560   -9.2313612000e-01    1.3557595536e-07
   3.7924955   -9.2316088911e-01    1.5302137508e-07
   3.8101350   -9.2318499519e-01    1.6474763629e-07
   3.8277745   -9.2320643616e-01    1.5348512308e-07
   3.8454140   -9.2322787713e-01    1.4222260987e-07
   3.8630535   -9.2324578880e-01    1.3104158162e-07
   3.8806930   -9.2325137887e-01    1.2014503596e-07
   3.8983326   -9.2325696893e-01    1.0924849030e-07
   3.9159721   -9.2325964880e-01    1.0204740199e-07
   3.9336116   -9.2325341328e-01    1.0616731795e-07
   3.9512511   -9.2324717776e-01    1.1028723391e-07
   3.9688906   -9.2324123642e-01    1.1214066543e-07
   3.9865301   -9.2323609236e-01    1.0785159565e-07
   4.0041696   -9.2323094829e-01    1.0356252587e-07
   4.0218092   -9.2322818106e-01    9.4997552011e-08
